feature,importances_mean
num__mileage_num,4339.018272799252
num__cylinders_num,543.0360228092877
num__year_num,177.02231086650272
num__condition,162.8456403947708
cat__make_chevrolet,95.04016876958049
num__transmission,23.646634315382062
num__fuel,6.386675630462378
cat__make_acura,0.0
cat__make_buick,0.0
cat__make_bmw,0.0
cat__make_cadillac,0.0
cat__make_audi,0.0
cat__make_fiat,0.0
cat__make_chevy,0.0
cat__make_chrysler,0.0
cat__make_dodge,0.0
cat__make_freightliner,0.0
cat__make_ford,0.0
cat__make_gmc,0.0
cat__make_honda,0.0
cat__make_mercedes-benz,0.0
cat__make_hummer,0.0
cat__make_hyandia,0.0
cat__make_hyundai,0.0
cat__make_infiniti,0.0
cat__make_international,0.0
cat__make_jaguar,0.0
cat__make_jeep,0.0
cat__make_kia,0.0
cat__make_land rover,0.0
cat__make_lexus,0.0
cat__make_lincoln,0.0
cat__make_maserati,0.0
cat__make_mazda,0.0
cat__make_mercedes,0.0
cat__make_mercedes benz,0.0
cat__make_scion,0.0
cat__make_mercury,0.0
cat__make_mini,0.0
cat__make_mitsubishi,0.0
cat__make_nissan,0.0
cat__make_pontiac,0.0
cat__make_ram,0.0
cat__make_saab,0.0
cat__make_toyota,0.0
cat__make_subaru,0.0
cat__make_suzuki,0.0
cat__make_tesla,0.0
cat__make_volvo,0.0
cat__make_volkswagen,0.0
cat__make_vw,0.0
num__title_status,-1.5557415958822731
